,Name,Price,Reviews
182,"Redmi K20 Pro (Pearl White, 256 GB)","29,999",4.5
183,"Redmi 7A (Matte Black, 32 GB)","6,699",4.3
184,"Redmi 8A (Midnight Black, 32 GB)","6,999",4.4
185,"Redmi 3S Prime (Silver, 32 GB)","8,999",4.3
186,"Redmi 6 (Gold, 64 GB)","8,499",4.4
187,"Redmi Note 4 (Dark Grey, 32 GB)","10,999",4.4
188,"Redmi 6A (Rose Gold, 32 GB)","5,742",4.3
189,"Redmi Note 8 (Space Black, 32 GB)","10,595",4.4
190,"Redmi 6 Pro (Gold, 32 GB)","7,983",4.3
191,"Redmi 6 Pro (Rose Gold, 32 GB)","8,457",4.3
192,"Redmi 7A (Matte Gold, 16 GB)","6,499",4.3
193,"Redmi 3S Prime (Gold, 32 GB)","8,999",4.3
194,"Redmi 6 (Gold, 32 GB)","7,999",4.4
195,"Redmi Note 7S (Astro Moonlight White, 32 GB)","9,999",4.4
196,"Redmi Go (Black, 16 GB)","4,999",4.3
197,"Redmi Note 5 Pro (Red, 64 GB)","12,999",4.5
198,"Redmi Go (Black, 8 GB)","4,499",4.3
199,"Mi Max 2 (Black, 64 GB)","16,999",4.4
200,"Redmi 4A (Dark Grey, 32 GB)","6,999",4.4
201,"Redmi 7A (Matte Gold, 32 GB)","6,699",4.3
202,"Redmi 3S (Silver, 16 GB)","6,999",4.3
203,"Redmi 4A (Gold, 32 GB)","6,999",4.4
204,"Redmi K20 Pro (Glacier Blue, 256 GB)","29,999",4.5
205,"Redmi Note 5 (Blue, 64 GB)","11,899",4.4
206,"Mi 4i (Grey, 16 GB)","9,999",4.2
207,"Redmi 2 Prime (White, 16 GB)","6,999",4.3
208,"Redmi 2 Prime (Grey, 16 GB)","6,999",4.3
209,"Redmi Y1 (Grey, 32 GB)","8,999",4.3
210,"Redmi 6 (Black, 32 GB)","7,999",4.4
211,"Redmi 6A (Black, 16 GB)","5,745",4.3
212,"Redmi 6A (Gold, 16 GB)","5,589",4.3
213,"Redmi Go (Blue, 8 GB)","4,499",4.3
214,"Redmi Note 5 (Rose Gold, 64 GB)","8,490",4.4
215,"Redmi Note 5 (Rose Gold, 32 GB)","10,999",4.4
216,"Redmi 4 (Black, 64 GB)","11,999",4
217,"Redmi 4 (Black, 16 GB)","7,499",4.2
218,"Redmi 4 (Gold, 64 GB)","11,999",4
219,"Redmi 4 (Gold, 16 GB)","7,499",4.2
220,"Redmi 9 (Sky Blue, 128 GB)","10,998",4.1
221,"Redmi 9 (Carbon Black, 128 GB)","11,999",4.1
222,"Redmi 9 (Sporty Orange, 128 GB)","10,998",4.1
223,"Redmi Y3 (Bold Red, 32 GB)","8,252",4.3
224,"Redmi Y1 lite (Rose Gold, 16 GB)","7,999",4.2
225,"Redmi Y1 lite (Grey, 16 GB)","7,899",4.2
226,"Redmi 6A (Rose Gold, 16 GB)","5,698",4.3
227,"Redmi 5 (Rose Gold, 32 GB)","8,199",4.3
228,"Redmi 5 (Black, 16 GB)","8,498",4.3
